Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Year
Darrell Armstrong,28,ORL,PG,67,0,1010,7.1,18.6,.383,3.0,9.7,.304,4.1,8.8,.470,.462,4.9,5.7,.868,1.9,2.2,4.1,9.4,3.3,0.5,5.3,6.1,22.1,103,107,,1996-1997
Sharone Wright,24,TOR,C,60,28,1009,8.5,21.2,.400,0.0,0.1,.000,8.5,21.1,.400,.400,3.6,7.0,.511,4.1,5.6,9.8,1.5,0.8,2.6,4.9,7.7,20.5,82,109,,1996-1997
Corie Blount,28,LAL,PF,58,18,1009,4.8,9.3,.514,0.1,0.2,.333,4.7,9.2,.517,.517,2.9,4.3,.675,5.9,8.5,14.4,1.8,1.1,1.4,2.6,6.3,12.6,112,104,,1996-1997
Larry Stewart,28,SEA,SF,70,21,982,6.1,13.6,.444,0.5,2.0,.243,5.6,11.6,.479,.462,3.6,5.0,.720,4.1,5.2,9.3,2.8,1.7,1.2,3.4,5.8,16.2,101,105,,1996-1997
Randy Livingston,21,HOU,PG,64,0,981,5.3,12.2,.437,0.5,1.2,.409,4.9,11.1,.440,.456,2.2,3.5,.646,1.7,3.3,5.0,8.3,2.1,0.6,5.4,5.7,13.4,91,106,,1996-1997
Chris Morris,31,UTA,SF,73,1,977,6.7,16.3,.408,1.7,6.2,.274,5.0,10.1,.489,.460,2.1,2.9,.722,2.0,6.8,8.8,2.3,1.6,1.3,2.5,6.6,17.1,97,104,,1996-1997
Jon Barry,27,ATL,SG,58,8,965,5.7,14.1,.407,2.8,7.1,.387,3.0,7.0,.426,.504,2.1,2.6,.804,1.5,4.2,5.7,6.6,3.2,0.2,3.4,3.2,16.3,108,103,,1996-1997
Cherokee Parks,24,MIN,PF,76,0,961,5.7,11.1,.510,0.0,0.1,.000,5.7,11.1,.512,.510,2.5,4.2,.605,4.6,6.2,10.7,1.9,2.3,2.6,1.8,8.3,13.9,111,105,,1996-1997
Mark West,36,CLE,C,70,43,959,6.0,10.9,.556,0.0,0.0,,6.0,10.9,.556,.556,1.6,3.4,.482,4.2,7.1,11.2,1.1,0.7,3.3,3.1,8.6,13.7,99,102,,1996-1997
Kevin Gamble,31,SAC,SF,62,2,953,6.8,15.8,.430,3.0,6.2,.482,3.8,9.6,.397,.524,0.4,0.6,.700,0.7,5.2,5.9,4.3,1.2,0.9,1.5,4.2,17.0,111,110,,1996-1997
Todd Fuller,22,GSW,C,75,18,949,6.3,14.6,.429,0.0,0.0,,6.3,14.6,.429,.429,4.2,6.1,.691,5.9,7.8,13.7,1.3,0.6,1.1,2.9,8.0,16.7,102,113,,1996-1997
Henry James,31,ATL,PF,53,15,945,7.3,17.9,.408,4.4,10.6,.420,2.9,7.3,.392,.533,1.8,2.1,.833,1.6,3.2,4.7,1.2,0.6,0.1,1.7,5.7,20.8,113,109,,1996-1997
Jerome Allen,24,2TM,SG,76,1,943,4.4,12.5,.353,1.7,5.3,.323,2.7,7.2,.375,.421,2.4,4.1,.583,1.4,4.1,5.5,8.6,1.8,0.2,3.9,4.8,12.9,95,109,,1996-1997
Jerome Allen,24,IND,SG,51,1,692,4.4,11.5,.388,1.8,4.6,.390,2.7,6.9,.386,.466,2.1,3.7,.574,1.0,4.1,5.1,8.5,2.1,0.0,4.4,5.2,12.8,95,107,,1996-1997
Jerome Allen,24,DEN,SG,25,0,251,4.3,15.3,.284,1.4,7.0,.206,2.9,8.3,.350,.331,3.1,5.2,.600,2.5,4.3,6.8,8.9,0.8,0.8,2.7,3.5,13.2,94,114,,1996-1997
Stacey Augmon,28,2TM,SG,60,10,942,6.0,12.6,.477,0.0,0.0,,6.0,12.6,.477,.477,4.0,5.6,.711,2.7,5.2,7.9,3.2,2.4,1.0,3.7,5.0,16.0,100,103,,1996-1997
Stacey Augmon,28,DET,SG,20,3,292,6.0,15.0,.403,0.0,0.0,,6.0,15.0,.403,.403,5.4,8.0,.683,2.7,6.8,9.5,2.9,1.9,1.9,5.3,5.6,17.5,87,103,,1996-1997
Stacey Augmon,28,POR,SG,40,7,650,6.0,11.6,.517,0.0,0.0,,6.0,11.6,.517,.517,3.3,4.5,.732,2.7,4.5,7.2,3.3,2.6,0.6,3.0,4.7,15.3,108,104,,1996-1997
Scott Burrell,26,2TM,SF,57,2,939,5.6,15.4,.362,2.3,6.6,.353,3.2,8.8,.368,.437,3.2,4.3,.750,2.8,6.2,9.0,4.2,1.6,1.1,3.0,6.8,16.7,101,110,,1996-1997
