Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P_1,0-3_1,3-10_1,10-16_1,16-3P_1,3P_1,2P_2,3P_2,%FGA,#,%3PA,3P%,Att.,Md.,Awards,Year
Zaza Pachulia,29,MIL,C,53,43,1325,.427,6.4,.997,.504,.198,.181,.115,.003,.428,.506,.290,.397,.375,.000,.624,,.009,3,.000,,0,0,,2013-2014
Ryan Kelly,22,LAL,PF,59,25,1312,.423,14.7,.617,.208,.164,.127,.119,.383,.476,.649,.393,.319,.455,.338,.624,.917,.049,17,.225,.344,0,0,,2013-2014
Nate Wolters,22,MIL,PG,58,31,1309,.437,10.2,.841,.347,.219,.144,.131,.159,.465,.615,.306,.429,.373,.290,.342,.778,.000,0,.145,.444,0,0,,2013-2014
Anthony Tolliver,28,CHA,PF,64,9,1298,.420,21.7,.195,.085,.036,.020,.055,.805,.450,.692,.182,.500,.235,.413,.741,1.000,.016,5,.332,.390,0,0,,2013-2014
Omri Casspi,25,HOU,PF,71,2,1283,.422,14.2,.571,.222,.239,.049,.059,.429,.479,.692,.388,.250,.250,.347,.696,.902,.032,12,.222,.359,0,0,,2013-2014
Pablo Prigioni,36,NYK,PG,66,27,1283,.461,20.4,.267,.131,.063,.037,.037,.733,.451,.640,.250,.143,.429,.464,.304,.677,.000,0,.243,.471,1,0,,2013-2014
Tony Allen,32,MEM,SG,55,28,1278,.494,8.1,.886,.562,.123,.048,.153,.114,.527,.647,.373,.300,.286,.234,.580,1.000,.048,20,.596,.286,3,0,,2013-2014
Mason Plumlee,23,BRK,C,70,22,1275,.659,2.9,.990,.785,.189,.013,.003,.010,.666,.759,.333,.000,.000,.000,.814,,.404,116,.000,,2,0,ROY-4,2013-2014
Matthew Dellavedova,23,CLE,SG,72,4,1271,.412,17.8,.476,.091,.176,.105,.108,.524,.461,.667,.404,.355,.469,.368,.477,.930,.000,0,.310,.458,2,0,,2013-2014
Tiago Splitter,29,SAS,C,59,50,1271,.523,3.8,.991,.598,.355,.014,.023,.009,.528,.633,.366,.000,.625,.000,.669,,.107,32,.333,.000,1,0,,2013-2014
Andrea Bargnani,28,NYK,C,42,39,1257,.442,13.7,.785,.207,.165,.147,.265,.215,.487,.615,.434,.365,.489,.278,.760,.967,.026,13,.019,.500,0,0,,2013-2014
Jae Crowder,23,DAL,SF,78,8,1254,.439,16.1,.490,.243,.071,.051,.125,.510,.552,.722,.381,.400,.378,.331,.550,.960,.041,12,.411,.435,1,0,,2013-2014
Ian Mahinmi,27,IND,C,77,1,1248,.481,5.1,.995,.656,.153,.069,.116,.005,.484,.548,.414,.385,.273,.000,.659,,.159,25,.000,,1,0,,2013-2014
Tony Snell,22,CHI,SG,77,12,1231,.384,17.7,.470,.146,.134,.042,.149,.530,.456,.551,.378,.357,.460,.320,.569,1.000,.021,6,.258,.304,0,0,,2013-2014
DeJuan Blair,24,DAL,PF,78,13,1214,.534,5.1,.995,.481,.387,.115,.013,.005,.537,.640,.474,.333,.400,.000,.733,,.020,8,.000,,2,0,,2013-2014
Jeremy Evans,26,UTA,SF,66,4,1209,.527,8.2,.994,.458,.160,.114,.262,.006,.530,.704,.434,.421,.333,.000,.714,,.196,59,.500,.000,0,0,,2013-2014
Kendrick Perkins,29,OKC,C,62,62,1207,.451,5.4,.995,.415,.435,.088,.057,.005,.453,.488,.440,.529,.182,.000,.667,,.052,9,.000,,0,0,,2013-2014
Steven Adams,20,OKC,C,81,20,1197,.503,3.2,1.000,.659,.292,.043,.005,.000,.503,.615,.296,.250,.000,,.613,,.162,26,,,0,0,ROY-7,2013-2014
C.J. Watson,29,IND,PG,63,5,1193,.437,16.5,.566,.234,.060,.063,.210,.434,.492,.590,.350,.429,.443,.366,.387,.830,.000,0,.310,.422,1,0,,2013-2014
Kyle O'Quinn,23,ORL,C,69,19,1188,.501,10.4,.992,.326,.164,.127,.375,.008,.505,.702,.344,.511,.403,.000,.677,,.108,36,.000,,1,0,,2013-2014
Andrew Nicholson,24,ORL,PF,76,5,1174,.429,14.5,.788,.131,.240,.090,.326,.212,.459,.727,.386,.368,.431,.315,.586,.964,.019,8,.910,.321,1,0,,2013-2014
Nick Calathes,24,MEM,SG,71,7,1173,.457,10.7,.804,.338,.219,.135,.113,.196,.492,.657,.397,.333,.371,.311,.374,.842,.000,0,.230,.500,0,0,ROY-7,2013-2014
Darrell Arthur,25,DEN,SF,68,1,1161,.395,15.8,.844,.146,.076,.095,.527,.156,.399,.517,.226,.333,.403,.375,.841,1.000,.027,9,.234,.333,1,0,,2013-2014
Elliot Williams,24,PHI,SG,67,2,1157,.415,12.4,.629,.395,.125,.030,.080,.371,.486,.609,.214,.200,.407,.296,.583,.865,.083,26,.208,.192,0,0,,2013-2014
Jrue Holiday,23,NOP,PG,34,34,1143,.447,12.2,.830,.275,.183,.143,.229,.170,.459,.560,.349,.462,.423,.390,.162,.467,.007,3,.169,.308,0,0,,2013-2014
Luke Ridnour,32,2TM,PG,61,14,1141,.385,17.8,.670,.089,.098,.116,.367,.330,.406,.483,.344,.316,.433,.343,.258,.703,.000,0,.361,.436,0,0,,2013-2014
Luke Ridnour,32,MIL,PG,36,12,763,.384,16.6,.689,.110,.110,.132,.338,.311,.391,.500,.417,.310,.378,.368,.271,.680,.000,0,.397,.444,0,0,,2013-2014
Luke Ridnour,32,CHA,PG,25,2,378,.389,19.1,.630,.046,.074,.083,.426,.370,.441,.400,.125,.333,.522,.300,.233,.750,.000,0,.300,.417,0,0,,2013-2014
Phil Pressey,22,BOS,PG,75,11,1132,.308,16.5,.581,.229,.091,.059,.202,.419,.340,.517,.174,.200,.255,.264,.180,.857,.008,2,.066,.143,1,0,,2013-2014
Gary Neal,29,2TM,SG,52,3,1114,.410,17.3,.618,.079,.132,.176,.231,.382,.430,.595,.419,.422,.385,.378,.472,.706,.000,0,.133,.417,0,0,,2013-2014
Gary Neal,29,MIL,SG,30,2,607,.390,17.6,.599,.072,.112,.202,.213,.401,.410,.600,.387,.357,.407,.360,.426,.700,.000,0,.126,.429,0,0,,2013-2014
Gary Neal,29,CHA,SG,22,1,507,.438,16.9,.644,.088,.160,.139,.258,.356,.456,.588,.452,.556,.360,.406,.526,.714,.000,0,.145,.400,0,0,,2013-2014
Kevin Garnett,37,BRK,C,54,54,1109,.441,13.1,.992,.163,.166,.169,.494,.008,.445,.603,.305,.467,.432,.000,.803,,.045,13,.333,.000,0,0,,2013-2014
Robert Sacre,24,LAL,C,65,13,1089,.477,7.8,1.000,.283,.377,.223,.117,.000,.477,.682,.434,.358,.343,,.818,,.137,36,,,0,0,,2013-2014
Francisco García,32,HOU,SF,55,4,1083,.401,18.6,.344,.173,.061,.041,.068,.656,.485,.667,.389,.250,.250,.358,.388,.957,.003,1,.321,.419,0,0,,2013-2014
Brandan Wright,26,DAL,C,58,0,1077,.677,4.0,1.000,.613,.275,.091,.021,.000,.677,.793,.495,.500,.429,,.875,,.293,94,,,0,0,,2013-2014
